Player,Team,Position,Value,Owner
Jalen Hurts,PHI,QB,19,Stay Thirsty
Jaylen Waddle,MIA,WR,19,Stay Thirsty
Travis Etienne,JAX,RB,16,Stay Thirsty
Garrett Wilson,NYJ,WR,11,RAGE
Tee Higgins,CIN,WR,20,RAGE
Mark Andrews,BAL,TE,29,RAGE
Isiah Pacheco,KC,RB,11,Off Tha Hook
Cam Akers,LAR,RB,15,Off Tha Hook
Justin Jefferson,MIN,WR,20,Off Tha Hook
Rhamondre Stevenson,NE,RB,15,Bassham Football Team
Christian Kirk,JAX,WR,15,Bassham Football Team
Deandre Hopkins,TEN,WR,17,Bassham Football Team
Tony Pollard,DAL,RB,15,Bashed Potatoes
Rachaad White,TB,RB,13,Bashed Potatoes
Amon-Ra St. Brown,DET,WR,32,Bashed Potatoes
Ja'Marr Chase,CIN,WR,26,Finders Keepers
Khalil Herbert,CHI,RB,10,Finders Keepers
D'Onta Foreman,CHI,RB,10,Finders Keepers
James Cook,BUF,RB,17,Vons Got A Chubb
Chris Olave,NO,WR,14,Vons Got A Chubb
Jonathan Taylor,IND,RB,53,Who Needs A Johnson
Jameson Williams,DET,WR,10,Who Needs A Johnson
Cooper Kupp,LAR,WR,45,SeaChickens Keepers
Alexander Mattison,MIN,RB,10,SeaChickens Keepers
Patrick Mahomes,KC,QB,29,Browns
Josh Jacobs,LV,RB,30,Browns
