Player,Team,Position,Tier,Pos Rank
Josh Allen,,QB,1,QB1
Jalen Hurts,,QB,1,QB2
Lamar Jackson,,QB,1,QB3
Patrick Mahomes,,QB,1,QB4
Anthony Richardson,,QB,2,QB5
C.J. Stroud,,QB,2,QB6
Kyler Murray,,QB,2,QB7
Joe Burrow,,QB,3,QB8
Jordan Love,,QB,3,QB9
Dak Prescott,,QB,3,QB10
Caleb Williams,,QB,4,QB11
Jayden Daniels,,QB,4,QB12
Trevor Lawrence,,QB,4,QB13
Brock Purdy,,QB,4,QB14
Jared Goff,,QB,5,QB15
Justin Herbert,,QB,5,QB16
Tua Tagovailoa,,QB,5,QB17
Kirk Cousins,,QB,5,QB18
Matthew Stafford,,QB,5,QB19
Aaron Rodgers,,QB,6,QB20
Deshaun Watson,,QB,6,QB21
Baker Mayfield,,QB,6,QB22
Geno Smith,,QB,6,QB23
Sam Darnold,,QB,6,QB24
Will Levis,,QB,6,QB25
Bryce Young,,QB,7,QB26
Derek Carr,,QB,7,QB27
Drake Maye,,QB,8,QB28
Daniel Jones,,QB,8,QB29
Bo Nix,,QB,8,QB30
Russell Wilson,,QB,8,QB31
Justin Fields,,QB,8,QB32
Gardner Minshew II,,QB,8,QB33
Aidan O'Connell,,QB,8,QB34
Jacoby Brissett,,QB,8,QB35
Christian McCaffrey,,RB,1,RB1
Bijan Robinson,,RB,1,RB2
Breece Hall,,RB,1,RB3
Jahmyr Gibbs,,RB,2,RB4
De'Von Achane,,RB,2,RB5
Kyren Williams,,RB,3,RB6
Josh Jacobs,,RB,3,RB7
Jonathan Taylor,,RB,3,RB8
Saquon Barkley,,RB,3,RB9
Derrick Henry,,RB,3,RB10
Travis Etienne Jr.,,RB,3,RB11
Isiah Pacheco,,RB,4,RB12
Kenneth Walker III,,RB,4,RB13
Alvin Kamara,,RB,4,RB14
Joe Mixon,,RB,4,RB15
Rachaad White,,RB,5,RB16
David Montgomery,,RB,5,RB17
James Cook,,RB,5,RB18
Aaron Jones,,RB,5,RB19
Najee Harris,,RB,5,RB20
D'Andre Swift,,RB,5,RB21
Rhamondre Stevenson,,RB,5,RB22
James Conner,,RB,5,RB23
Javonte Williams,,RB,5,RB24
Tony Pollard,,RB,5,RB25
Zamir White,,RB,5,RB26
Raheem Mostert,,RB,5,RB27
Chase Brown,,RB,6,RB28
Jaylen Warren,,RB,6,RB29
Zack Moss,,RB,7,RB30
Trey Benson,,RB,7,RB31
Devin Singletary,,RB,7,RB32
Jerome Ford,,RB,7,RB33
Brian Robinson Jr.,,RB,8,RB34
Blake Corum,,RB,8,RB35
Ezekiel Elliott,,RB,8,RB36
Rico Dowdle,,RB,8,RB37
Gus Edwards,,RB,8,RB38
Austin Ekeler,,RB,8,RB39
Tyjae Spears,,RB,8,RB40
Jonathon Brooks,,RB,8,RB41
Ty Chandler,,RB,8,RB42
Jaleel McLaughlin,,RB,9,RB43
Zach Charbonnet,,RB,9,RB44
CeeDee Lamb,,WR,1,WR1
Tyreek Hill,,WR,1,WR2
Amon-Ra St. Brown,,WR,1,WR3
Justin Jefferson,,WR,1,WR4
Ja'Marr Chase,,WR,1,WR5
A.J. Brown,,WR,1,WR6
Chris Olave,,WR,2,WR7
Garrett Wilson,,WR,2,WR8
Nico Collins,,WR,2,WR9
Puka Nacua,,WR,2,WR10
Malik Nabers,,WR,2,WR11
Marvin Harrison Jr.,,WR,2,WR12
Cooper Kupp,,WR,2,WR13
DJ Moore,,WR,2,WR14
Drake London,,WR,2,WR15
Jaylen Waddle,,WR,2,WR16
Davante Adams,,WR,2,WR17
DeVonta Smith,,WR,3,WR18
Rashee Rice,,WR,3,WR19
Mike Evans,,WR,3,WR20
Deebo Samuel,,WR,4,WR21
Brandon Aiyuk,,WR,4,WR22
Stefon Diggs,,WR,5,WR23
Tank Dell,,WR,5,WR24
DK Metcalf,,WR,5,WR25
Michael Pittman Jr.,,WR,5,WR26
Christian Kirk,,WR,5,WR27
Amari Cooper,,WR,5,WR28
Tee Higgins,,WR,5,WR29
Zay Flowers,,WR,6,WR30
Xavier Worthy,,WR,6,WR31
Terry McLaurin,,WR,6,WR32
Diontae Johnson,,WR,6,WR33
Jaxon Smith-Njigba,,WR,6,WR34
Calvin Ridley,,WR,7,WR35
George Pickens,,WR,7,WR36
Jayden Reed,,WR,7,WR37
DeAndre Hopkins,,WR,7,WR38
Keenan Allen,,WR,7,WR39
Chris Godwin,,WR,7,WR40
Marquise Brown,,WR,7,WR41
Jameson Williams,,WR,7,WR42
Rome Odunze,,WR,7,WR43
Jordan Addison,,WR,7,WR44
Courtland Sutton,,WR,7,WR45
Christian Watson,,WR,7,WR46
Rashid Shaheed,,WR,7,WR47
Brian Thomas Jr.,,WR,7,WR48
Keon Coleman,,WR,7,WR49
Tyler Lockett,,WR,7,WR50
Brandin Cooks,,WR,7,WR51
Khalil Shakir,,WR,8,WR52
Joshua Palmer,,WR,8,WR53
Jerry Jeudy,,WR,9,WR54
Ladd McConkey,,WR,9,WR55
Mike Williams,,WR,10,WR56
Dontayvion Wicks,,WR,10,WR57
Romeo Doubs,,WR,10,WR58
Curtis Samuel,,WR,10,WR59
Adam Thielen,,WR,10,WR60
Rashod Bateman,,WR,10,WR61
Ja'Lynn Polk,,WR,10,WR62
Adonai Mitchell,,WR,10,WR63
Jalen Tolbert,,WR,10,WR64
Michael Wilson,,WR,10,WR65
Demarcus Robinson,,WR,10,WR66
Marvin Mims Jr.,,WR,10,WR67
Josh Downs,,WR,10,WR68
Darnell Mooney,,WR,10,WR69
Ray-Ray McCloud III,,WR,10,WR70
Sam LaPorta,,TE,1,TE1
Travis Kelce,,TE,1,TE2
Mark Andrews,,TE,2,TE3
Trey McBride,,TE,2,TE4
Dalton Kincaid,,TE,2,TE5
George Kittle,,TE,2,TE6
David Njoku,,TE,3,TE7
Kyle Pitts,,TE,3,TE8
Evan Engram,,TE,4,TE9
Dallas Goedert,,TE,4,TE10
Jake Ferguson,,TE,5,TE11
Taysom Hill,,TE,6,TE12
Dalton Schultz,,TE,6,TE13
Luke Musgrave,,TE,6,TE14
Brock Bowers,,TE,6,TE15
Cole Kmet,,TE,6,TE16
Pat Freiermuth,,TE,6,TE17
T.J. Hockenson,,TE,7,TE18
Hunter Henry,,TE,8,TE19
Ben Sinnott,,TE,8,TE20
Cade Otton,,TE,8,TE21
Tyler Conklin,,TE,8,TE22
Isaiah Likely,,TE,8,TE23
Noah Fant,,TE,8,TE24
Colby Parkinson,,TE,8,TE25
